招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
银行大堂经理,南京银雁科技服务有限公司,盐城,民营公司,3-4.5千/月,五险一金 节日福利 带薪年假 绩效奖金 通讯补贴,150-500人,外包服务,无需经验,中技/中专,招1人,0.3,0.45
金融理财管培生（上海）,深圳市金斧子网络科技有限公司,上海,民营公司,1-2万/月,弹性工作 专业培训 五险一金 定期团建 周末双休 节日福利 绩效奖金 定期体检,500-1000人,金融/投资/证券,无需经验,本科,招若干人,1,2
银行营销客户经理（J000363）,江西银雁科技服务有限公司,南昌,民营公司,0.5-1万/月,专业培训 绩效奖金 定期体检 弹性工作 节日福利 周末双休,500-1000人,金融/投资/证券,无需经验,大专,招3人,0.5,1
财务审计助理,湖北一站通教育管理有限公司,武汉,民营公司,3-4.5千/月,五险一金 绩效奖金 年终奖金 专业培训 定期体检 补充医疗保险 包住宿 通讯补贴 弹性工作,少于50人,教育/培训/院校,无需经验,大专,招5人,0.3,0.45
审价,深圳市司索家居有限公司,深圳,民营公司,5-6千/月,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 节日福利,50-150人,家居/室内设计/装潢,校招,大专,招1人,0.5,0.6
会计助理,瑞仪（广州）光电子器件有限公司,广州,外资（非欧美）,4-6千/月,周末双休 五险一金 包吃 包住宿 加班补贴 专业培训 免费班车 带薪年假 餐饮补贴 证书补贴,1000-5000人,电子技术/半导体/集成电路,无需经验,本科,招若干人,0.4,0.6
金融产品销售（大牛带队+精准资源）,广州中港汇银企业服务有限公司,广州,创业公司,6-8千/月,五险一金 员工旅游 弹性工作 绩效奖金 通讯补贴 专业培训 带薪年假 住房补贴,500-1000人,金融/投资/证券,无需经验,高中,招5人,0.6,0.8
财务咨询顾问（实习）,天津安信管理咨询有限公司,天津,民营公司,2-2.5千/月,绩效奖金,少于50人,专业服务(咨询、人力资源、财会),校招,本科,招2人,0.2,0.25
税务筹划咨询助理,广州理道税务师事务所有限公司,广州,民营公司,6-8千/月,周末双休 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 专业培训 通讯补贴 交通补贴,少于50人,专业服务(咨询、人力资源、财会),校招,本科,招5人,0.6,0.8
日内交易员 T0交易员,上海交胜投资咨询有限公司,上海,民营公司,1-2万/月,五险一金 专业培训 绩效奖金 年终奖金 午餐,少于50人,金融/投资/证券,无需经验,大专,招3人,1,2
续保专员,广州广保丰田汽车销售服务有限公司,广州,外资（非欧美）,4.5-9千/月,五险一金 全勤奖 节日福利 专业培训 带薪年假 绩效奖金 员工旅游 定期体检 员工生日,150-500人,汽车,无需经验,大专,招1人,0.45,0.9
金融实习生,超亨投资服务（佛山）有限公司,广州,民营公司,0.8-1万/月,五险一金 节假日 专业培训 周末双休,少于50人,金融/投资/证券,无需经验,大专,招10人,0.8,1
