招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
商业智能顾问 - Business Intelligence Consultant,菲缔信息科技（上海）有限公司,上海,外资（欧美）,1-1.5万/月,五险一金 专业培训 绩效奖金 顶尖外资环境,1000-5000人,计算机软件,无需经验,本科,招10人,1,1.5
软件开发 - 管培生项目,菲缔信息科技（上海）有限公司,上海,外资（欧美）,1-1.5万/月,五险一金 专业培训 出国机会 绩效奖金 顶尖外资环境,1000-5000人,计算机软件,无需经验,本科,招10人,1,1.5
C++软件开发工程师,英特工程仿真技术（大连）有限公司,西安,民营公司,0.7-1.4万/月,五险一金 交通补贴 绩效奖金 年终奖金 定期体检 通讯补贴 餐饮补贴 研发奖金 专业培训 节日福利,50-150人,计算机软件,无需经验,本科,招5人,0.7,1.4
22届it韩语实习生,上海华钦信息科技股份有限公司,大连,上市公司,5-8千/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招5人,0.5,0.8
开发工程师（金融科技）,上海华钦信息科技股份有限公司,深圳,上市公司,4-5千/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招4人,0.4,0.5
22届大数据运维工程师（实习）,上海华钦信息科技股份有限公司,上海,上市公司,4.5-6千/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招3人,0.45,0.6
22届核心银行技术岗（信用卡和财富管理方向）,上海华钦信息科技股份有限公司,大连,上市公司,0.7-1万/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届核心银行技术岗（信用卡和财富管理方向）,上海华钦信息科技股份有限公司,上海,上市公司,0.7-1万/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届Java实习生,上海华钦信息科技股份有限公司,广州,上市公司,0.7-1万/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招5人,0.7,1
22届Java实习生,上海华钦信息科技股份有限公司,大连,上市公司,5-8千/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招5人,0.5,0.8
22届C++开发工程师,上海华钦信息科技股份有限公司,上海,上市公司,0.7-1万/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招5人,0.7,1
22届C语言开发工程师,上海华钦信息科技股份有限公司,上海,上市公司,0.7-1万/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招5人,0.7,1
22届COBOL开发工程师,上海华钦信息科技股份有限公司,上海,上市公司,0.7-1万/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招4人,0.7,1
22届COBOL开发工程师（金融开发方向）,上海华钦信息科技股份有限公司,广州,上市公司,0.7-1万/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二,1000-5000人,计算机软件,校招,本科,招15人,0.7,1
22届Java 全栈工程师,上海华钦信息科技股份有限公司,成都,上市公司,6-9千/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二,1000-5000人,计算机软件,校招,本科,招40人,0.6,0.9
22届Java实习生（上海）,上海华钦信息科技股份有限公司,上海,上市公司,0.7-1万/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届COBOL开发工程师,上海华钦信息科技股份有限公司,大连,上市公司,5-8千/月,节日福利 弹性工作 补充医疗保险 专业培训 做五休二 商业保险,1000-5000人,计算机软件,校招,本科,招6人,0.5,0.8
C++开发工程师(J10290),上海金融期货信息技术有限公司,苏州,国企,0.8-1万/月,周末双休 带薪年假 五险一金 绩效奖金,500-1000人,金融/投资/证券,校招,本科,招3人,0.8,1
Java开发工程师(J10344),上海金融期货信息技术有限公司,苏州,国企,0.8-1万/月,周末双休 带薪年假 五险一金 绩效奖金,500-1000人,金融/投资/证券,校招,本科,招4人,0.8,1
助理c++软件工程师,深圳墨影科技有限公司,深圳,民营公司,0.7-1.5万/月,五险一金 员工旅游 交通补贴 弹性工作 定期体检 商业保险,50-150人,机械/设备/重工,校招,本科,招2人,0.7,1.5
C++开发工程师（多媒体渲染应届生）,深圳软牛科技有限公司,深圳,民营公司,1.5-2.5万/月,五险一金 员工旅游 股票期权 弹性工作 专业培训 下午茶活动 节日福利 周末双休 年终奖金 节日红包,150-500人,计算机服务(系统、数据服务、维修),校招,本科,招2人,1.5,2.5
C++开发工程师（逆向）,深圳软牛科技有限公司,深圳,民营公司,2-3.5万/月,五险一金 员工旅游 股票期权 弹性工作 专业培训 下午茶活动 节日福利 周末双休 年终奖金 节日红包,150-500人,计算机服务(系统、数据服务、维修),无需经验,本科,招1人,2,3.5
Python开发工程师,青岛云智环境数据管理有限公司,青岛,民营公司,4-7千/月,五险一金 员工旅游 周末双休 法定节假日 定期体检 节日福利 年终奖 高温补贴 全勤奖 团建,少于50人,计算机软件,无需经验,本科,招若干人,0.4,0.7
C++开发工程师-2022届春招(J17991),广州赛意信息科技股份有限公司,佛山,上市公司,0.7-1万/月,五险一金 补充医疗保险 免费班车 员工旅游 专业培训 绩效奖金 年终奖金 定期体检,5000-10000人,计算机软件,校招,本科,招若干人,0.7,1
.NET工程师-2022届春招(J17987),广州赛意信息科技股份有限公司,深圳,上市公司,0.7-1万/月,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检 专业培训,5000-10000人,计算机软件,校招,本科,招若干人,0.7,1
JAVA工程师-2022届春招(J17986),广州赛意信息科技股份有限公司,深圳,上市公司,0.7-1万/月,五险一金 补充医疗保险 员工旅游 年终奖金 定期体检 专业培训,5000-10000人,计算机软件,校招,本科,招若干人,0.7,1
SAP顾问-2022届春招(J17993),广州赛意信息科技股份有限公司,佛山,上市公司,0.7-1万/月,五险一金 补充医疗保险 免费班车 员工旅游 专业培训 绩效奖金 年终奖金 定期体检,5000-10000人,计算机软件,校招,本科,招若干人,0.7,1
实施顾问-2022届春招(J17994),广州赛意信息科技股份有限公司,佛山,上市公司,0.7-1万/月,五险一金 补充医疗保险 免费班车 员工旅游 专业培训 绩效奖金 年终奖金 定期体检,5000-10000人,计算机软件,校招,本科,招若干人,0.7,1
GIS工程开发师（ ArcEngine）（校 招）,武大吉奥信息技术有限公司,武汉,民营公司,0.7-1.4万/月,五险一金 年终奖金 专业培训 交通补贴,1000-5000人,计算机软件,校招,本科,招3人,0.7,1.4
GIS开发工程师（校招）,武大吉奥信息技术有限公司,武汉,民营公司,0.8-1.5万/月,五险一金 交通补贴 年终奖金 专业培训,1000-5000人,计算机软件,校招,本科,招11人,0.8,1.5
Java开发工程师（校招）,武大吉奥信息技术有限公司,武汉,民营公司,0.8-1.5万/月,五险一金 交通补贴 专业培训 年终奖金,1000-5000人,计算机软件,校招,本科,招4人,0.8,1.5
Java开发工程师（校招）,武大吉奥信息技术有限公司,武汉,民营公司,0.8-1.5万/月,五险一金 交通补贴 专业培训 年终奖金,1000-5000人,计算机软件,校招,硕士,招1人,0.8,1.5
Java开发工程师（校招）,武大吉奥信息技术有限公司,武汉,民营公司,0.8-1.5万/月,五险一金 交通补贴 专业培训 年终奖金,1000-5000人,计算机软件,校招,本科,招1人,0.8,1.5
Java开发工程师（校招）,武大吉奥信息技术有限公司,武汉,民营公司,0.8-1.5万/月,五险一金 交通补贴 专业培训 年终奖金,1000-5000人,计算机软件,校招,本科,招9人,0.8,1.5
C++开发工程师（校招）,武大吉奥信息技术有限公司,武汉,民营公司,0.8-1.5万/月,五险一金 专业培训 年终奖金 交通补贴,1000-5000人,计算机软件,校招,本科,招4人,0.8,1.5
JAVA开发(大数据方向)校招,武大吉奥信息技术有限公司,武汉,民营公司,0.8-1.5万/月,五险一金 员工旅游 交通补贴 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,1000-5000人,计算机软件,校招,硕士,招2人,0.8,1.5
GIS开发工程师（校招）,武大吉奥信息技术有限公司,广州,民营公司,0.8-1.5万/月,五险一金 专业培训 交通补贴 年终奖金,1000-5000人,计算机软件,校招,本科,招2人,0.8,1.5
2022校招-Java开发工程师(J12869),北京东方国信科技股份有限公司,北京,上市公司,3-6千/月,五险一金 年终奖金 定期体检 专业培训 餐饮补贴,5000-10000人,计算机软件,校招,本科,招50人,0.3,0.6
2022校招提前批-Java开发工程师(J12747),北京东方国信科技股份有限公司,成都,上市公司,3-6千/月,五险一金 年终奖金 定期体检 专业培训,5000-10000人,计算机软件,校招,本科,招30人,0.3,0.6
2022校招-Java开发工程师(J12747),北京东方国信科技股份有限公司,北京,上市公司,3-6千/月,五险一金 年终奖金 定期体检 专业培训 餐饮补贴,5000-10000人,计算机软件,校招,本科,招30人,0.3,0.6
销售管培生底薪8K+应届生优先+提供住宿,北京麦田房产经纪有限公司,北京,民营公司,2-2.5万/月,可转正实习 带薪年假 弹性工作 绩效奖金 专业培训 氛围好 大平台,10000人以上,房地产,校招,本科,招20人,2,2.5
嵌入式软件工程师,润芯微科技（江苏）有限公司,南京,民营公司,3-4.5千/月,餐饮补贴 周末双休 不加班,1000-5000人,计算机软件,校招,本科,招15人,0.3,0.45
JAVA工程师（ESB系统集成）,大圣科技股份有限公司,广州,合资,0.8-1.5万/月,做五休二 包三餐 五险一金 节日福利 通讯补贴 高温补贴 领导好 架构扁平 团队氛围好 帅哥美女多,150-500人,计算机软件,无需经验,本科,招3人,0.8,1.5
GIS实施工程师,南京国图信息产业有限公司,宣城,上市公司,4.5-6千/月,五险一金 餐饮补贴 年终奖金 绩效奖金 交通补贴,1000-5000人,计算机软件,无需经验,本科,招1人,0.45,0.6
Kubernetes 技术专家（云原生）,字节跳动,杭州,民营公司,3-6万/月,下午茶 健身瑜伽 六险一金 团队氛围好 晋升空间大 带薪休假 扁平管理 大牛带队 免费三餐 薪资优厚,10000人以上,互联网/电子商务,5-7年经验,本科,招2人,3,6
容器技术专家（云原生）,字节跳动,成都,民营公司,3-6万/月,下午茶 六险一金 股票期权 团队氛围好 带薪休假 大牛带队 免费三餐 薪资优厚 弹性工作 租房补贴,10000人以上,互联网/电子商务,5-7年经验,本科,招3人,3,6
Kubernetes 技术专家（云原生）,字节跳动,上海,民营公司,3-6万/月,下午茶 健身瑜伽 六险一金 团队氛围好 晋升空间大 带薪休假 扁平管理 大牛带队 免费三餐 薪资优厚,10000人以上,互联网/电子商务,5-7年经验,本科,招2人,3,6
SRE工程师/专家-飞书,字节跳动,深圳,民营公司,2-4万/月,下午茶 健身瑜伽 六险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 大牛带队 餐补,10000人以上,互联网/电子商务,3-4年经验,本科,招6人,2,4
Android 开发工程师-飞书开放平台,字节跳动,武汉,民营公司,3-6万/月,下午茶 健身瑜伽 六险一金 股票期权 团队氛围好 晋升空间大 带薪休假 扁平管理 大牛带队 免费三餐,10000人以上,互联网/电子商务,5-7年经验,本科,招3人,3,6
SRE 工程师-飞书 KA,字节跳动,深圳,民营公司,2-4万/月,下午茶 健身瑜伽 六险一金 五险一金 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿 大牛带队,10000人以上,互联网/电子商务,3-4年经验,本科,招6人,2,4
后端开发工程师,字节跳动,深圳,民营公司,2-4万/月,下午茶 健身瑜伽 六险一金 五险一金 团队氛围好 晋升空间大 带薪休假 扁平管理 用户过亿 大牛带队,10000人以上,互联网/电子商务,3-4年经验,本科,招6人,2,4
高级AutoML算法工程师,字节跳动,北京,民营公司,2.5-5万/月,扁平管理 大牛带队 团队氛围好 租房补贴 六险一金 用户过亿 薪资优厚 股票期权 带薪休假 免费三餐,10000人以上,互联网/电子商务,3-4年经验,本科,招5人,2.5,5
短视频数据科学家/资深数据分析师,字节跳动,上海,民营公司,2-4万/月,下午茶 租房补贴,10000人以上,互联网/电子商务,3-4年经验,本科,招5人,2,4
移动端开发工程师react native(大兴亦庄）,施耐德电气（中国）有限公司,武汉,外资（欧美）,2-2.5万/月,五险一金,10000人以上,电气/电力/水利,5-7年经验,本科,招1人,2,2.5
移动端开发工程师react native(大兴亦庄）,施耐德电气（中国）有限公司,北京,外资（欧美）,2-2.9万/月,五险一金,10000人以上,电气/电力/水利,5-7年经验,本科,招1人,2,2.9
萤石-产品数据工程师,杭州海康威视数字技术股份有限公司,杭州,上市公司,1.1-2万/月,补充医疗保险 五险一金 餐饮补贴 通讯补贴 交通补贴 定期体检 年终奖金,10000人以上,通信/电信/网络设备,2年经验,本科,招1人,1.1,2
Web前端开发(网页设计师),“前程无忧”51job.com（上海）,上海,外资（非欧美）,1.5-2.5万/月,周末双休 带薪年假 五险一金 补充医疗保险 定期体检 专业培训 季度奖金 年终奖 大平台,1000-5000人,互联网/电子商务,3-4年经验,大专,招2人,1.5,2.5
iOS开发工程师,印孚瑟斯技术（中国）有限公司,西安,外资（非欧美）,1-1.6万/月,五险一金 补充医疗保险 年终奖金 定期体检 周末双休,1000-5000人,计算机软件,3-4年经验,大专,招若干人,1,1.6
